fecha,Nivel,Precipitacion
1981,4.4,0.0
1982,7.76,0.0
1983,9.01,0.0
1984,5.55,0.0
1985,6.95,0.0
1986,4.69,0.0
1987,5.9,1.6736503904115556
1988,7.75,0.0
1989,6.42,0.5939660671010311
1990,5.75,0.0
1991,4.73,0.0
1992,8.55,0.0
1993,5.16,0.0
1994,4.98,0.0
1995,6.12,0.0
1996,4.72,0.0
1997,6.9,0.0
1998,7.19,0.0
1999,4.76,0.0
2000,4.25,0.0
2001,4.06,0.0
2002,4.06,0.0
2003,4.76,0.0
2004,4.84,0.0
2005,3.91,0.1879537992857658
2006,4.3,0.0
2007,4.77,1.966262662892081
2008,4.02,0.0
2009,3.22,6.308089548600288
2010,3.83,0.0
2011,4.6,0.0
2012,5.05,0.0
2013,5.28,0.0
2014,7.38,0.0
2015,7.88,13.406120164547536
2016,7.88,0.0
2017,5.05,0.0
2018,6.02,29.71730763005577
2019,7.58,2.162525810176744
